,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
718,w160032123,mfh,153731.94845816758,r2,0.1054,224026.52089379428,54442.01474559972,3886.518498597725,-352880.84415732225,-348994.3256587245
719,w160032125,mfh,66153.6841583442,r2,0.1054,109280.76192413933,31398.011390583837,-29501.56658739195,-151851.11581582323,-181352.68240321518
720,w160032126,mfh,110488.03186896033,r2,0.1054,164321.3310904266,50568.14004669606,-26779.445879690757,-253617.48384922917,-280396.92972891993
721,w160032127,mfh,40432.88418235807,r1,0.1145,121228.584712743,26202.43345212795,-85743.36620418943,-100823.91326467937,-186567.2794688688
722,w160032128,mfh,38304.45704397495,r1,0.1145,198272.78056700705,30473.596445371426,-178745.6549179817,-95516.44243913377,-274262.0973571155
723,w160032129,mfh,32289.507460447312,r1,0.1145,62411.17119452898,13847.774666178364,-16424.650437964767,-80517.4937525689,-96942.14419053367
724,w160032130,mfh,28436.163503282907,r1,0.1145,51471.08694956949,14029.486662093666,-15546.428947998822,-70908.75015753154,-86455.17910553036
725,w160032131,mfh,34789.771625745816,r1,0.1145,63947.22814968358,14135.939899488163,-12444.59160365921,-86752.181740789,-99196.77334444821
726,w160032132,mfh,91092.6577783465,r2,0.1054,127314.9572664325,32040.0698986087,8236.092919773684,-209096.77068266657,-200860.67776289288
727,w160032133,mfh,42553.842839482204,r1,0.1145,67670.08947442722,17304.298376071107,-4707.529854146473,-106112.76059793889,-110820.29045208536
728,w160032134,th,24056.438038250453,r1,0.1145,75058.17951399762,15243.003074861019,-53080.89492789352,-59987.41547317052,-113068.31040106404
729,w160032135,mfh,65722.88945965386,r2,0.1054,93537.56724426404,22655.11538553312,5321.470344712288,-150862.2569712109,-145540.78662649862
730,w160032136,mfh,64169.744421509604,r2,0.1054,102514.9697745719,20651.507489251788,-2621.926468272606,-147297.1220876949,-149919.0485559675
731,w160032137,mfh,73679.24716639257,r2,0.1054,111741.5855515794,31882.694606522888,-15800.547282581305,-169125.51488298824,-184926.06216556954
732,w160032138,mfh,69539.96744806832,r2,0.1054,109707.19871226988,33660.554635708184,-27348.537366479693,-159624.09025489274,-186972.62762137243
733,w160032139,mfh,43447.68462383709,r1,0.1145,80578.67658126318,20953.231302739754,-24486.24448184161,-108341.65493383848,-132827.8994156801
734,w160032140,mfh,34609.490828365495,r1,0.1145,115182.20149443304,25061.983224774885,-91374.42478039145,-86302.63143425182,-177677.05621464326
735,w160032141,mfh,59767.37247387365,r2,0.1054,94319.7041625754,26752.030081941455,-18535.314448824356,-137191.7878045025,-155727.10225332686
736,w160032142,mfh,34459.97295454553,r1,0.1145,,34459.97295454553,,-85929.79191398526,
737,w160032143,mfh,68813.16803571579,r2,0.1054,103152.92516731322,29576.02728282697,-13086.836172371753,-157955.77346884875,-171042.6096412205
738,w160032144,mfh,49460.51965860495,r1,0.1145,97999.86930283104,24178.437367510116,-34956.17297458237,-123335.33075686517,-158291.50373144753
739,w160032145,mfh,18000.89068230275,r1,0.1145,,18000.89068230275,,-44887.23170610137,
740,w160032146,mfh,81778.57206375393,r2,0.1054,151152.65001337367,43179.60460429989,-62551.442799769895,-187716.94389660683,-250268.38669637672
741,w160032147,mfh,86156.41938675339,r2,0.1054,130725.75155596096,32014.72814949744,-6447.31822102642,-197765.98363379782,-204213.30185482424
742,w160032148,th,50006.21579904702,r1,0.1145,93693.6643146418,23560.800292201195,-27749.066662762692,-124696.08504005353,-152445.15170281622
743,w160032149,mfh,66199.1315218652,r2,0.1054,119958.5437288111,34361.6584028396,-46877.86984965997,-151955.43703314252,-198833.30688280248
744,w160032150,mfh,51662.93632292382,r1,0.1145,81355.92418130723,19017.245100468906,49.75356934039155,-128827.30273033273,-128777.54916099233
745,w160032151,mfh,57922.11142190568,r2,0.1054,108038.75861351343,18994.198311231074,-18682.479859811574,-132956.12121574345,-151638.60107555502
746,w160032152,th,16816.435705141692,r1,0.1145,,16816.435705141692,,-41933.66091098824,
747,w160032153,mfh,29566.60282765376,r1,0.1145,46334.80327201578,14664.81319433541,-9175.5262166889,-73727.62688859293,-82903.15310528183
748,w160032155,mfh,39313.2611323115,r1,0.1145,60074.94298768839,16155.971644692994,-2329.6548649217875,-98032.00812187766,-100361.66298679945
749,w160032156,mfh,131761.0863573074,r2,0.1054,226898.9270170712,62825.58869422202,-68662.35451715207,-302448.2799260468,-371110.63444319885
750,w160032157,mfh,23007.382660062376,r1,0.1145,158696.75992865508,18497.65764028637,-147451.25683293867,-57371.478702910856,-204822.73553584953
751,w160032158,mfh,58348.97494600452,r2,0.1054,87686.35218401672,24447.84564861781,-9868.701108035893,-133935.95632636754,-143804.65743440343
752,w160032159,mfh,40458.15139260002,r1,0.1145,69318.67060745266,19753.449044420944,-17689.182483163633,-100886.91987589179,-118576.10235905543
753,w160032160,other,75105.28561600679,nr2,0.0985,126663.32088085456,21516.45961733097,-11706.74628536834,-161112.81050727118,-172819.55679263952
754,w160032161,trade,41598.98809684389,nr1,0.107,,41598.98809684389,,-96937.06924852701,
755,w160032162,mfh,51088.749816073236,r1,0.1145,81273.08423040669,21819.024375477275,-8285.754269135592,-127395.50453598794,-135681.25880512354
756,w160032163,mfh,90971.44947639163,r2,0.1054,141620.11058389654,43004.925360010486,-31516.337807692908,-208818.54557499255,-240334.88338268545
757,w160032164,mfh,53103.58239103667,r1,0.1145,96690.80676587802,24626.450963512878,-25679.89851292924,-132419.71462856402,-158099.61314149326
758,w160032165,mfh,58784.81323691094,r2,0.1054,85985.78879535232,24614.11645560697,-7549.364574061561,-134936.3923811606,-142485.75695522217
759,w160032166,other,896549.3915510399,nr2,0.0985,1224444.803539896,296885.1769801247,61930.53180087963,-1923241.36772322,-1861310.8359223404
760,w160032167,mfh,37657.42018648339,r1,0.1145,53986.39683895533,13433.338114289052,6419.057759533709,-93902.98375771611,-87483.9259981824
761,w160032168,th,13873.999853026246,r1,0.1145,,13873.999853026246,,-34596.36842889479,
762,w160032169,th,12092.93742302179,r1,0.1145,28121.271033108656,3297.9866649744044,-6190.078877803426,-30155.090306071666,-36345.16918387509
763,w160032170,sfh,14086.294460143807,r1,0.1145,38013.82215185856,4769.791538029326,-14782.08141545928,-35125.74874611489,-49907.83016157417
764,w160032171,th,18045.438784192636,r1,0.1145,46068.99592826068,9646.465808249995,-25125.21860533808,-44998.31737441023,-70123.53597974831
765,w160032172,th,35026.762638130625,r1,0.1145,73738.45797611575,14312.979822175337,-22086.326691092865,-87343.14530325535,-109429.47199434822
766,w160032173,mfh,28506.2384098141,r1,0.1145,45763.12390763739,12295.751901574888,-5340.465006690138,-71083.48976468561,-76423.95477137575
767,w160032174,mfh,29900.973116695626,r1,0.1145,46998.69814798019,13051.979082176204,-4983.849405759887,-74561.41655515728,-79545.26596091717
768,w160032175,th,9593.062255957997,r1,0.1145,49677.994271183554,7386.415528105403,-44175.47416177534,-23921.372328402875,-68096.84649017821
769,w160032176,th,32391.429286288585,r1,0.1145,62674.41506941074,13372.589931875937,-15248.814639430755,-80771.6472104833,-96020.46184991405
770,w160032177,th,7111.322358229594,r1,0.1145,,7111.322358229594,,-17732.876670622423,
771,w160032178,mfh,75453.57648583635,r2,0.1054,130526.53708798252,31793.30178992664,-30307.456113895983,-173198.3626829287,-203505.8187968247
772,w160127708,mfh,113599.65490243523,r2,0.1054,168419.53901458863,40928.439383668316,-1607.8896769150742,-260759.9950433208,-262367.8847202359
773,w160127710,mfh,19160.41845180246,r1,0.1145,,19160.41845180246,,-47778.6437244168,
