,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,21.59,29.06,25.16,12.18,7.3,7.3,7.3,7.3
320,38.61,40.15,37.85,25.54,25.54,25.54,25.54,34.13
321,100.77,103.01,85.23,51.98,51.98,51.98,51.98,79.8
322,599.3,532.78,205.77,60.19,60.19,60.19,60.19,366.34
323,100.11,94.69,62.93,62.93,62.93,62.93,83.52,95.48
324,245.9,170.11,70.68,70.68,70.68,70.68,140.33,233.57
325,276.25,132.29,53.81,53.81,53.81,53.81,193.5,301.6
326,25.14,25.14,19.15,19.15,19.15,19.15,25.14,25.14
327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,82.34,126.84,103.98,27.14,8.66,8.66,8.66,8.66
344,579.79,749.68,500.59,20.06,20.06,20.06,20.06,90.43
345,731.65,780.8,404.44,31.92,31.92,31.92,31.92,285.78
346,249.7,230.42,134.57,73.87,73.87,73.87,73.87,181.12
347,818.28,583.59,44.23,44.23,44.23,44.23,96.23,616.41
348,529.31,308.13,62.47,62.47,62.47,62.47,220.43,492.99
349,278.18,133.37,54.26,54.26,54.26,54.26,194.86,303.65
350,206.43,46.86,29.64,29.64,29.64,29.64,197.97,269.02
351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
