,time,G(i),H_sun,T2m,WS10m,Int
442,20150119:1010,30.55,20.38,3.13,0.96,0.0
443,20150119:1110,51.47,21.43,3.34,0.88,0.0
444,20150119:1210,49.68,19.88,3.56,0.8,0.0
445,20150119:1310,20.35,15.89,3.59,1.04,0.0
446,20150119:1410,14.96,9.86,3.62,1.28,0.0
447,20150119:1510,0.0,2.25,3.65,1.52,1.0
448,20150119:1610,0.0,0.0,2.53,1.51,0.0
449,20150119:1710,0.0,0.0,1.41,1.5,0.0
450,20150119:1810,0.0,0.0,0.3,1.49,0.0
451,20150119:1910,0.0,0.0,0.16,1.4,0.0
452,20150119:2010,0.0,0.0,0.02,1.31,0.0
453,20150119:2110,0.0,0.0,-0.12,1.23,0.0
454,20150119:2210,0.0,0.0,0.11,1.66,0.0
455,20150119:2310,0.0,0.0,0.33,2.08,0.0
456,20150120:0010,0.0,0.0,0.56,2.51,0.0
457,20150120:0110,0.0,0.0,0.09,2.21,0.0
458,20150120:0210,0.0,0.0,-0.38,1.91,0.0
459,20150120:0310,0.0,0.0,-0.85,1.61,0.0
460,20150120:0410,0.0,0.0,-0.52,1.79,0.0
461,20150120:0510,0.0,0.0,-0.2,1.96,0.0
462,20150120:0610,0.0,0.0,0.13,2.14,0.0
463,20150120:0710,2.74,3.97,0.69,2.93,0.0
464,20150120:0810,17.33,11.32,1.25,3.72,0.0
465,20150120:0910,22.8,17.01,1.81,4.51,0.0
466,20150120:1010,37.39,20.58,2.33,4.72,0.0
467,20150120:1110,87.55,21.65,2.85,4.92,0.0
468,20150120:1210,106.13,20.1,3.37,5.13,0.0
469,20150120:1310,49.08,16.11,3.34,4.18,0.0
470,20150120:1410,35.9,10.08,3.3,3.23,0.0
471,20150120:1510,19.24,2.47,3.27,2.28,1.0
472,20150120:1610,0.0,0.0,2.83,2.1,0.0
473,20150120:1710,0.0,0.0,2.4,1.92,0.0
474,20150120:1810,0.0,0.0,1.97,1.74,0.0
475,20150120:1910,0.0,0.0,1.37,1.75,0.0
