,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
42,0.052,8285.452,783.05,4500.947,425.38,-3784.504999999999,-357.66999999999996,0.7830499999999999,0.42538,-0.35766999999999993
43,0.053,5285.193,495.1,4077.637,381.98,-1207.556,-113.12,0.49510000000000004,0.38198000000000004,-0.11312
44,0.054,8222.876,763.64,5712.531,530.51,-2510.3450000000003,-233.13,0.76364,0.53051,-0.23313
45,0.055,2734.656,251.81,2176.996,200.45999999999998,-557.6599999999999,-51.35000000000002,0.25181,0.20045999999999997,-0.05135000000000002
46,0.056,11147.068,1018.09,4105.437,374.96,-7041.630999999999,-643.1300000000001,1.01809,0.37495999999999996,-0.6431300000000001
47,0.057,5286.724,479.0,3544.423,321.14,-1742.3010000000004,-157.86,0.479,0.32114,-0.15786
48,0.058,9715.036,873.34,6994.993,628.8199999999999,-2720.0429999999997,-244.5200000000001,0.87334,0.6288199999999999,-0.2445200000000001
49,0.059,4413.374,393.77,6415.46,572.4,2002.0860000000002,178.63,0.39377,0.5724,0.17862999999999998
50,0.06,3441.689,304.79,2977.474,263.68,-464.2149999999997,-41.110000000000014,0.30479,0.26368,-0.041110000000000015
51,0.061,4752.398999999999,417.83,2481.807,218.2,-2270.5919999999996,-199.63,0.41783,0.21819999999999998,-0.19963
52,0.062,3062.494,267.35,13217.238,1153.84,10154.743999999999,886.4899999999999,0.26735000000000003,1.15384,0.8864899999999999
53,0.063,2728.7200000000003,236.56,5134.92,445.16,2406.2,208.60000000000002,0.23656,0.44516,0.20860000000000004
54,0.064,602.947,51.92,7370.655,634.6899999999999,6767.708,582.77,0.05192,0.63469,0.58277
55,0.065,816.43,69.84,4202.437,359.49,3386.007,289.65,0.06984,0.35949000000000003,0.28964999999999996
56,0.066,1846.9089999999999,156.97,4284.471,364.14,2437.562,207.17,0.15697,0.36413999999999996,0.20717
57,0.067,7194.355,607.58,3769.581,318.35,-3424.7739999999994,-289.23,0.60758,0.31835,-0.28923000000000004
58,0.068,1129.924,94.84,2562.225,215.06,1432.301,120.22,0.09484000000000001,0.21506,0.12022
59,0.069,11757.57,980.86,3682.886,307.24,-8074.683999999999,-673.62,0.9808600000000001,0.30724,-0.67362
60,0.07,2426.9139999999998,201.26999999999998,1611.552,133.65,-815.3619999999999,-67.61999999999998,0.20126999999999998,0.13365000000000002,-0.06761999999999997
61,0.071,2856.1369999999997,235.48,7764.014999999999,640.12,4907.878,404.64,0.23548,0.64012,0.40464
62,0.072,1009.628,82.77,3966.424,325.16999999999996,2956.796,242.39999999999998,0.08277,0.32516999999999996,0.24239999999999998
63,0.073,6322.657999999999,515.4200000000001,1730.628,141.08,-4592.03,-374.34000000000003,0.5154200000000001,0.14108,-0.37434
64,0.074,2919.581,236.71,5107.88,414.13,2188.299,177.42,0.23671,0.41413,0.17742
65,0.075,5622.613,453.4,3118.603,251.48000000000002,-2504.01,-201.91999999999996,0.45339999999999997,0.25148000000000004,-0.20191999999999996
66,0.076,285.494,22.9,6337.974,508.38,6052.4800000000005,485.48,0.0229,0.5083799999999999,0.48548
67,0.077,5017.437,400.37,2003.115,159.84,-3014.322,-240.53,0.40037,0.15984,-0.24053
68,0.079,4540.784,358.70000000000005,1227.417,96.96,-3313.3669999999997,-261.74000000000007,0.3587,0.09695999999999999,-0.2617400000000001
69,0.08,651.748,51.23,2563.737,201.52,1911.989,150.29000000000002,0.05123,0.20152,0.15029
70,0.081,3112.009,243.43,4731.614,370.12,1619.6049999999996,126.69,0.24343,0.37012,0.12669
