,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
48,w99055038,337.97397138923407,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-41155.60326612149,-215478.53336998384,-174322.93010386234,0.0530335052585837,-515.7880335793672
49,w99055039,2475.299022556655,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-146931.7885665421,-613195.1133221901,-466263.32475564803,0.048820563252060696,-188.36646421572937
50,w99055040,101.95110847079195,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-12628.90575405614,-90022.94829088444,-77394.04253682829,0.0530335052585837,-759.1289952379573
51,w99055041,189.90211718752977,ab,21595.11692946048,23994.5743660672,26993.8961618256,r1,-38721.404014636195,-142024.06985122137,-103302.66583658518,0.05303562136964849,-543.9784841080683
52,w99055043,190.2007592998445,sfh,29155.98911223378,32395.543458037533,36444.98639029222,r1,-52278.52377687235,-179266.3029441693,-126987.77916729695,0.05303562136964849,-667.6512735004669
53,w99055048,47.74609960326925,sfh,5769.180841789516,6410.2009353216845,7211.476052236895,r1,-10344.504405237867,-61840.06468845421,-51495.56028321634,0.05303562136964849,-1078.5291513045468
54,w99055050,194.95880112051967,trade,16984.909900636445,18872.122111818273,21231.137375795555,nr1,-28460.142788972567,-153858.63012493224,-125398.48733595968,0.0530335052585837,-643.2050598138467
55,w99055053,122.33706042193808,ab,14174.508663259385,15749.454070288204,17718.13582907423,r1,-25415.78628408657,-122801.6577254177,-97385.87144133112,0.05303562136964849,-796.0455409460486
56,w99055057,303.91877080444243,ab,36040.58788819037,40045.09765354486,45050.73486023796,r1,-64623.04275091918,-191370.45027827565,-126747.40752735647,0.05303562136964849,-417.043696221424
57,w99055067,194.8848727118224,sfh,21931.666176569037,24368.517973965598,27414.582720711296,r1,-39324.85799965881,-133164.92857843396,-93840.07057877515,0.05303562136964849,-481.5154161171714
58,w99055068,348.37368724122643,ab,40200.04013772175,44666.71126413528,50250.05017215219,r1,-72081.20246173654,-301240.1394303988,-229158.93696866228,0.05303562136964849,-657.7963415761203
59,w99055094,263.70872883694244,other,16614.595860209945,18460.66206689994,20768.24482526243,nr1,-27839.639617100893,-168437.0976150189,-140597.457997918,0.0530335052585837,-533.1543579084667
60,w99055100,85.6876405166462,sfh,12089.433153049305,13432.703503388117,15111.79144131163,r1,-21677.1146438453,-93984.6682069596,-72307.5535631143,0.05303562136964849,-843.8504447915963
61,w99055110,94.65369866762775,sfh,12604.978915374657,14005.532128194063,15756.22364421832,r1,-22601.520648047117,-118879.26373334,-96277.7430852929,0.05303562136964849,-1017.1577491479536
62,w99055113,801.3236896117684,education,39333.930829421224,43704.367588245805,49167.41353677653,nr1,-65908.46194685738,-309019.89939740166,-243111.43745054427,0.0530335052585837,-303.38730852738024
63,w99055118,54.3237798044458,other,6219.479772060365,6910.533080067072,7774.349715075456,nr1,-10421.443706294365,-61309.84201706519,-50888.39831077082,0.0530335052585837,-936.7610003199035
64,w99055131,500.74276516167447,th,69240.53713621371,76933.93015134857,86550.67142026713,r2,-114285.48843283231,-385463.9670716392,-271178.4786388069,0.048820563252060696,-541.5524646696626
65,w99055135,663.0715527065098,ab,68880.52212837798,76533.91347597554,86100.65266047248,r2,-113691.26295863191,-275784.3235370486,-162093.06057841668,0.048820563252060696,-244.45787172860764
66,w99055142,64.54166975589469,sfh,9032.758360397225,10036.398178219139,11290.947950496531,r1,-16196.304330372614,-68335.60108518854,-52139.29675481592,0.05303562136964849,-807.839291298378
