,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
51,w99055041,189.90211718752977,ab,21595.11692946048,23994.5743660672,26993.8961618256,r1,-38721.404014636195,-159338.13146512923,-120616.72745049304,0.10088425840893965,-635.1520943359632
52,w99055043,190.2007592998445,sfh,29155.98911223378,32395.543458037533,36444.98639029222,r1,-52278.52377687235,-202642.35566722596,-150363.8318903536,0.10088425840893965,-790.5532682617243
53,w99055048,47.74609960326925,sfh,5769.180841789516,6410.2009353216845,7211.476052236895,r1,-10344.504405237867,-66465.55261161756,-56121.048206379695,0.10088425840893965,-1175.4059215872996
54,w99055050,194.95880112051967,trade,16984.909900636445,18872.122111818273,21231.137375795555,nr1,-28460.142788972567,-166585.02926207965,-138124.8864731071,0.10088023314648455,-708.4824366955407
55,w99055053,122.33706042193808,ab,14174.508663259385,15749.454070288204,17718.13582907423,r1,-25415.78628408657,-134166.1859724372,-108750.39968835063,0.10088425840893965,-888.9407618040901
56,w99055057,303.91877080444243,ab,36040.58788819037,40045.09765354486,45050.73486023796,r1,-64623.04275091918,-220266.28637566225,-155643.24362474307,0.10088425840893965,-512.1211934780174
57,w99055067,194.8848727118224,sfh,21931.666176569037,24368.517973965598,27414.582720711296,r1,-39324.85799965881,-150748.8213036798,-111423.963304021,0.10088425840893965,-571.7424947024205
58,w99055068,348.37368724122643,ab,40200.04013772175,44666.71126413528,50250.05017215219,r1,-72081.20246173654,-333470.8503869368,-261389.64792520026,0.10088425840893965,-750.3139803558261
59,w99055094,263.70872883694244,other,16614.595860209945,18460.66206689994,20768.24482526243,nr1,-27839.639617100893,-180886.02902863247,-153046.3894115316,0.10088023314648455,-580.3614847582991
60,w99055100,85.6876405166462,sfh,12089.433153049305,13432.703503388117,15111.79144131163,r1,-21677.1146438453,-103677.47011087339,-82000.35546702809,0.10088425840893965,-956.9682975585984
61,w99055110,94.65369866762775,sfh,12604.978915374657,14005.532128194063,15756.22364421832,r1,-22601.520648047117,-128985.40866859033,-106383.8880205432,0.10088425840893965,-1123.9274272218934
62,w99055113,801.3236896117684,education,39333.930829421224,43704.367588245805,49167.41353677653,nr1,-65908.46194685738,-338491.90168040496,-272583.43973354757,0.10088023314648455,-340.166456161568
63,w99055118,54.3237798044458,other,6219.479772060365,6910.533080067072,7774.349715075456,nr1,-10421.443706294365,-65969.95399102912,-55548.51028473476,0.10088023314648455,-1022.5450159156401
64,w99055131,500.74276516167447,th,69240.53713621371,76933.93015134857,86550.67142026713,r2,-114285.48843283231,-436566.0910430134,-322280.6026101811,0.0928663828498012,-643.6051103127303
65,w99055135,663.0715527065098,ab,68880.52212837798,76533.91347597554,86100.65266047248,r2,-113691.26295863191,-326620.7428746505,-212929.4799160186,0.0928663828498012,-321.1259464335155
66,w99055142,64.54166975589469,sfh,9032.758360397225,10036.398178219139,11290.947950496531,r1,-16196.304330372614,-75577.6889750718,-59381.38464469918,0.10088425840893965,-920.0472325752897
67,w99055146,149.08371188635937,sfh,17342.70904751041,19269.67671945601,21678.38630938801,r1,-31096.569003561035,-103296.6029977306,-72200.03399416957,0.10088425840893965,-484.2918993672817
68,w99055147,57.659734526090325,sfh,7330.462267285426,8144.958074761584,9163.077834106782,r1,-13143.980280022335,-75091.41545048762,-61947.43517046529,0.10088425840893965,-1074.3621294758968
69,w99055152,1635.3717537612654,other,76892.01538215307,85435.57264683674,96115.01922769133,nr2,-118606.23614800141,-581823.3857353888,-463217.14958738745,0.0928663828498012,-283.24883838920016
70,w99055158,567.1104306213557,trade,39120.40099323338,43467.11221470375,48900.50124154172,nr1,-65550.6684900087,-339715.85205634846,-274165.1835663398,0.10088023314648455,-483.44232227566357
71,w99055160,362.3993257842958,ab,41269.65009818708,45855.16677576342,51587.06262273384,r1,-73999.08045019771,-287415.9972484419,-213416.9167982442,0.10088425840893965,-588.8998726373801
72,w99055171,150.93386064656082,sfh,16885.70894548665,18761.8988283185,21107.136181858314,r1,-30277.13905358697,-117422.24304081609,-87145.10398722911,0.10088425840893965,-577.3727884115764
73,w99055172,71.28885925472714,sfh,9019.499646113589,10021.666273459543,11274.374557641986,r1,-16172.530621058228,-91921.24483650872,-75748.71421545048,0.10088425840893965,-1062.5603356169233
74,w99055173,413.9677898917347,ab,46033.80958093352,51148.67731214836,57542.2619761669,r1,-82541.51829501994,-258398.26380007272,-175856.7455050528,0.10088425840893965,-424.80779857545133
75,w99055181,184.62117180265486,other,15209.502381678169,16899.44709075352,19011.87797709771,nr1,-25485.24614284584,-150088.2223651742,-124602.97622232838,0.10088023314648455,-674.9116312376075
76,w99055182,84.81555104400032,sfh,9995.399856476368,11105.999840529297,12494.24982059546,r1,-17922.381128784546,-106010.10939783443,-88087.72826904988,0.10088425840893965,-1038.579920601495
77,w99055185,136.9722994968528,education,10840.570650859518,12045.07850095502,13550.713313574397,nr1,-18164.605549414566,-130306.71866434708,-112142.11311493251,0.10088023314648455,-818.7211102308258
78,w99055186,41.49024544628337,sfh,5137.404922484948,5708.227691649942,6421.756153106185,r1,-9211.690413166489,-55675.108732882916,-46463.418319716424,0.10088425840893965,-1119.863664819041
79,w99055192,160.51305735595523,ab,18121.209085465063,20134.67676162785,22651.511356831328,r1,-32492.46857629861,-151008.6800579335,-118516.21148163489,0.10088425840893965,-738.3586945130094
80,w99055193,133.23216011486946,other,9055.86994602939,10062.077717810433,11319.837432536737,nr1,-15174.13711642381,-96442.25624833643,-81268.11913191262,0.10088023314648455,-609.9737410385395
81,w99055199,594.2030242990702,ab,69499.33638341566,77221.48487046185,86874.17047926957,r2,-114712.65147338381,-335828.09828607854,-221115.44681269472,0.0928663828498012,-372.12103905651685
82,w99055201,119.5810925271362,sfh,16186.140935837673,17984.601039819638,20232.67616979709,r1,-29022.769576180784,-137650.34495193913,-108627.57537575834,0.10088425840893965,-908.4009276057399
83,w99055202,635.4450178422034,ab,74224.65462412336,82471.83847124818,92780.8182801542,r2,-122512.06097359413,-428654.9311573011,-306142.870183707,0.0928663828498012,-481.7771193222728
84,w99055209,191.61494707558305,other,19092.937557201116,21214.375063556796,23866.171946501392,nr1,-31992.38219794852,-172002.79775389424,-140010.4155559457,0.10088023314648455,-730.6862940119082
