,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.1,npv_DH_25years_ir_0.1,savings_npv_25years_ir_0.1,operator_selling_price,savings/NFA [€/m2]
91,w99055249,70.42309986636974,sfh,33446.903939437485,37163.22659937498,41808.62992429685,r1,-38624.52488311648,-63774.60583001191,-25150.080946895432,0.1766877099153118,-357.1282859547305
92,w99055257,137.79457132667304,trade,36946.07902516493,41051.19891684992,46182.59878145616,nr1,-39870.70116400579,-65835.3439317339,-25964.642767728117,0.1766806601097602,-188.43008485561518
93,w99055287,226.3710821658373,mfh,65413.202259158345,72681.33584350927,81766.50282394793,r2,-69535.68893075155,-114813.35151945018,-45277.66258869863,0.16264528056833066,-200.01522347951072
94,w99055292,58.725108856521544,trade,26638.013577625854,29597.792864028725,33297.51697203232,nr1,-28746.65747975155,-47467.0880324456,-18720.43055269405,0.1766806601097602,-318.7806871236665
95,w99055300,847.1402418442303,other,253934.7967876531,282149.7742085034,317418.49598456634,nr2,-252266.85197505876,-416548.3544931265,-164281.50251806775,0.16264528056833066,-193.9248006450806
96,w99389931,488.4274571448564,mfh,99582.28350232905,110646.9816692545,124477.85437791131,r2,-105858.18228555507,-174786.97458603152,-68928.79230047645,0.16264528056833066,-141.12390958404646
97,w99389943,3490.8252122399163,ab,624462.3880690951,693847.0978545501,780577.9850863689,r2,-663817.4078940982,-1096057.3278158733,-432239.9199217751,0.16264528056833066,-123.8217022170597
98,w99389949,2474.179022271931,ab,683124.5893772031,759027.3215302257,853905.7367215039,r2,-726176.6326572098,-1199021.3122575548,-472844.6796003451,0.16264528056833066,-191.1117487230784
99,w99389956,671.7147096479312,education,46899.24791118664,52110.27545687404,58624.0598889833,nr1,-50611.754958081045,-83571.19883464662,-32959.44387656558,0.1766806601097602,-49.06762261294048
100,w99389960,693.6997662768932,ab,196619.69517326806,218466.32797029783,245774.61896658505,r2,-209011.10921096,-345107.1862853949,-136096.07707443487,0.16264528056833066,-196.18873133670849
101,w99389971,1612.9015118613836,education,309303.5674613809,343670.63051264547,386629.4593267261,nr2,-307271.93852595956,-507373.9152520766,-200101.97672611702,0.16264528056833066,-124.06335740561587
102,w99389974,235.12884147074072,education,43366.28216826591,48184.7579647399,54207.85271033239,nr1,-46799.12246566644,-77275.69953076125,-30476.57706509481,0.1766806601097602,-129.61649823331987
103,w99389975,1082.0712234761565,mfh,203599.25388206367,226221.39320229297,254499.0673525796,r2,-216430.5353586958,-357357.7182851701,-140927.18292647428,0.16264528056833066,-130.23836127324904
