,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
576,w159872883,th,79026.37009855526,87807.07788728362,98782.96262319406,r2,-130437.56850152358,-218607.96389635702,-88170.39539483344,329.8948070596903,-267.2682124968403,329.8948070596903
577,w159872884,other,143972.0234440909,159968.91493787878,179965.02930511363,nr2,-222077.41241334195,-372210.2048737784,-150132.79246043644,900.053558271192,-166.8042874568587,900.053558271192
578,w159872887,other,276664.73986237287,307405.2665137476,345830.9248279661,nr2,-426756.4493771647,-715260.0695753503,-288503.62019818556,1008.3728146322071,-286.1080901942146,1008.3728146322071
579,w159872892,other,143062.30464210061,158958.1162690007,178827.88080262576,nr2,-220674.16758329188,-369858.3130717032,-149184.1454884113,458.9937253634445,-325.0243679699172,458.9937253634445
580,w159872895,th,102607.22908104869,114008.03231227632,128259.03635131086,r2,-169359.13234176862,-283838.89330208773,-114479.76096031911,353.7920229201671,-323.5792599714759,353.7920229201671
581,w159872899,other,288066.24065585615,320073.60072872904,360082.80081982014,nr2,-444343.30919391726,-744736.316728735,-300393.00753481773,2008.66189844124,-149.54881544172687,2008.66189844124
582,w160025355,ab,49800.95701413298,55334.39668236998,62251.19626766622,r1,-89296.25077551967,-149656.81888946617,-60360.5681139465,131.5437356668757,-458.86311353362316,131.5437356668757
583,w160025360,mfh,44981.20852414787,49979.120582386524,56226.51065518484,r1,-80654.13834152561,-135172.9962863427,-54518.85794481709,102.43726858533918,-532.2170211850009,102.43726858533918
584,w160025362,mfh,48176.35524129165,53529.28360143516,60220.444051614555,r1,-86383.23753208293,-144774.72931001044,-58391.49177792751,106.2412323884666,-549.6123347329169,106.2412323884666
585,w160025367,mfh,43237.007531294315,48041.11947921591,54046.25941411789,r1,-77526.6761681268,-129931.49917976635,-52404.82301163956,104.2175793532282,-502.8405316728966,104.2175793532282
