,south G(i) [kWh/m2],south_east G(i) [kWh/m2],east G(i) [kWh/m2],north_east G(i) [kWh/m2],north G(i) [kWh/m2],north_west G(i) [kWh/m2],west G(i) [kWh/m2],south_west G(i) [kWh/m2]
313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
320,36.42,44.18,37.37,19.99,14.59,14.59,14.59,14.59
321,65.09,68.72,58.56,34.2,34.2,34.2,34.2,49.81
322,179.12,175.8,114.65,57.46,57.46,57.46,57.46,122.67
323,131.71,120.5,86.23,61.1,61.1,61.1,61.1,113.3
324,111.67,97.52,57.91,57.91,57.91,57.91,82.19,105.32
325,88.13,72.94,47.42,47.42,47.42,47.42,73.64,88.42
326,47.19,38.55,27.82,27.82,27.82,27.82,44.52,49.66
327,66.51,10.03,10.03,10.03,10.03,19.49,74.89,94.36
328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,253.62,359.03,267.88,33.58,16.42,16.42,16.42,16.42
345,468.64,545.8,333.19,34.66,34.66,34.66,34.66,146.92
346,721.43,701.07,304.71,36.48,36.48,36.48,36.48,353.86
347,879.09,697.61,140.09,29.64,29.64,29.64,29.64,578.23
348,361.58,252.74,66.58,66.58,66.58,66.58,134.06,312.42
349,728.99,325.93,31.92,31.92,31.92,31.92,343.76,736.37
350,555.87,131.41,24.17,24.17,24.17,24.17,424.9,677.43
351,265.31,9.58,9.58,9.58,9.58,42.73,305.25,397.45
352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
