,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05
772,w160127708,mfh,113599.65490243523,126221.83878048358,141999.568628044,r2,-187502.76331313772,-172781.0627408283,14721.700572309433
773,w160127710,mfh,19160.41845180246,21289.353835336067,23950.523064753073,r1,-34355.83638584489,-31658.402346758256,2697.434039086631
774,w160127712,mfh,51621.798511126886,57357.5539012521,64527.2481389086,r2,-85204.7471125092,-78514.93224170181,6689.814870807386
775,w160127717,mfh,59698.67769326997,66331.8641036333,74623.34711658747,r2,-98536.10068835285,-90799.58020052267,7736.520487830174
776,w160127718,mfh,30986.327841109854,34429.25315678873,38732.909801387315,r1,-55560.436333120626,-51198.13205071887,4362.304282401754
777,w160127719,mfh,53656.28092585754,59618.089917619494,67070.35115732193,r2,-88562.77733717501,-81609.30813612326,6953.4692010517465
778,w164087844,other,23298.876208291324,25887.6402314348,29123.595260364153,nr1,-39039.909401328056,-38494.76298127986,545.1464200481932
779,w164087850,other,39843.370631234495,44270.41181248277,49804.21328904312,nr1,-66762.08611011822,-65829.83209631556,932.254013802667
780,w164087857,other,24270.419437870198,26967.132708744663,30338.024297337746,nr1,-40667.84026473748,-40099.96170478726,567.8785599502226
781,w164088134,other,8520.811361523403,9467.568179470449,10651.014201904254,nr1,-14277.585777347513,-14078.21608380034,199.36969354717257
782,w164088135,other,9382.961797042744,10425.51310782527,11728.70224630343,nr1,-15722.216608126066,-15502.674344053834,219.54226407223177
783,w164088136,other,10365.075939279755,11516.751043644172,12956.344924099694,nr1,-17367.86023453631,-17125.338492658677,242.52174187763376
784,w164088145,other,7688.65523273509,8542.950258594545,9610.819040918863,nr1,-12883.213809136681,-12703.314880208136,179.8989289285455
785,w164088147,other,7653.3059062610255,8503.673229178918,9566.632382826281,nr1,-12823.982003679286,-12644.910177251571,179.07182642771477
786,w164088149,other,21270.940862087315,23634.37873565257,26588.676077609143,nr1,-35641.87374159178,-35144.176893110416,497.6968484813624
787,w164088150,other,10640.228147967977,11822.47571996442,13300.28518495997,nr1,-17828.90896507297,-17579.949219911676,248.95974516129354
788,w164088153,other,27987.590700977962,31097.323001086625,34984.48837622245,nr1,-46896.38227867825,-46241.52945487626,654.8528238019862
789,w164088154,other,8230.148773793977,9144.609748659974,10287.68596724247,nr1,-13790.54764770269,-13597.978868831666,192.56877887102382
