,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
78,w99055186,41.49024544628337,sfh,8077.381808901094,8974.86867655677,10096.727261126367,r1,-19311.005379878174,-24273.33406730969,-4962.328687431516,0.19189725900050425
79,w99055192,160.51305735595523,ab,56573.984423398244,62859.982692664715,70717.4805292478,r2,-124504.81966847574,-156498.6918781609,-31993.872209685156,0.17664603579609733
80,w99055193,133.23216011486946,other,37451.259490311946,41612.510544791054,46814.07436288993,nr1,-83671.77680710591,-105177.81451438229,-21506.03770727638,0.1918896023368773
81,w99055199,594.2030242990702,ab,144875.40265854934,160972.66962061037,181094.25332318665,r2,-318833.5781232398,-400763.90645746404,-81930.32833422424,0.17664603579609733
82,w99055201,119.5810925271362,sfh,23915.67348956297,26572.970543958854,29894.59186195371,r1,-57176.41066705894,-71868.97261896814,-14692.5619519092,0.19189725900050425
83,w99055202,635.4450178422034,ab,183212.87097097567,203569.8566344174,229016.08871371957,r2,-403204.5063410941,-506815.5431234109,-103611.0367823168,0.17664603579609733
84,w99055209,191.61494707558305,other,71166.34004527405,79073.7111614156,88957.92505659255,nr2,-146365.8125619092,-183986.00905025774,-37620.196488348534,0.17664603579609733
85,w99055216,463.1840371862054,education,97615.7064420698,108461.89604674422,122019.63305258725,nr2,-200763.481487301,-252365.4333983222,-51601.9519110212,0.17664603579609733
86,w99055219,773.0541430711745,other,280358.9009157519,311509.889906391,350448.6261446898,nr2,-576606.2764418195,-724810.5670235497,-148204.2905817302,0.17664603579609733
87,w99055224,318.955577952601,ab,88079.81530757781,97866.46145286423,110099.76913447226,r2,-193841.06728687618,-243652.2019263134,-49811.13463943722,0.17664603579609733
88,w99055226,262.56915004737675,ab,69321.04823838189,77023.38693153542,86651.31029797735,r2,-152557.8355159984,-191760.46162382013,-39202.626107821736,0.17664603579609733
89,w99055235,1694.7837025728077,trade,455420.4985622041,506022.7761802268,569275.6232027551,nr2,-936650.5469720779,-1177396.5039769236,-240745.95700484572,0.17664603579609733
90,w99055245,424.4345906373113,ab,110594.87925706254,122883.19917451392,138243.59907132815,r2,-243390.94441547763,-305934.8587262505,-62543.914310772845,0.17664603579609733
91,w99055249,70.42309986636974,sfh,33446.903939437485,37163.22659937498,41808.62992429685,r1,-79963.20555294116,-100511.2661561352,-20548.06060319404,0.19189725900050425
92,w99055257,137.79457132667304,trade,36946.07902516493,41051.19891684992,46182.59878145616,nr1,-82543.12725826961,-103759.06977835366,-21215.94252008405,0.1918896023368773
93,w99055287,226.3710821658373,mfh,65413.202259158345,72681.33584350927,81766.50282394793,r2,-143957.6694874912,-180950.32000054637,-36992.65051305518,0.17664603579609733
94,w99055292,58.725108856521544,trade,26638.013577625854,29597.792864028725,33297.51697203232,nr1,-59513.35033814646,-74809.98207347051,-15296.631735324052,0.1918896023368773
95,w99055300,847.1402418442303,other,253934.7967876531,282149.7742085034,317418.49598456634,nr2,-522260.56371485855,-656496.4531016524,-134235.8893867939,0.17664603579609733
96,w99389931,488.4274571448564,mfh,99582.28350232905,110646.9816692545,124477.85437791131,r2,-219155.04760708814,-275471.089073746,-56316.04146665786,0.17664603579609733
97,w99389943,3490.8252122399163,ab,624462.3880690951,693847.0978545501,780577.9850863689,r2,-1374281.4441779465,-1727429.097596086,-353147.65341813955,0.17664603579609733
98,w99389949,2474.179022271931,ab,683124.5893772031,759027.3215302257,853905.7367215039,r2,-1503381.893256465,-1889704.3529273209,-386322.4596708559,0.17664603579609733
99,w99389956,671.7147096479312,education,46899.24791118664,52110.27545687404,58624.0598889833,nr1,-104780.0115950987,-131711.46884773922,-26931.457252640525,0.1918896023368773
100,w99389960,693.6997662768932,ab,196619.69517326806,218466.32797029783,245774.61896658505,r2,-432709.4854696811,-543902.3856232554,-111192.9001535743,0.17664603579609733
101,w99389971,1612.9015118613836,education,309303.5674613809,343670.63051264547,386629.4593267261,nr2,-636135.959092204,-799641.0792802279,-163505.1201880239,0.17664603579609733
102,w99389974,235.12884147074072,education,43366.28216826591,48184.7579647399,54207.85271033239,nr1,-96886.83189615473,-121789.51640470568,-24902.68450855094,0.1918896023368773
103,w99389975,1082.0712234761565,mfh,203599.25388206367,226221.39320229297,254499.0673525796,r2,-448069.70284275216,-563209.7018560782,-115139.99901332607,0.17664603579609733
104,w99389979,163.53384786918758,ab,58414.06986123536,64904.52206803929,73017.58732654419,r2,-128554.3754483537,-161588.8577362061,-33034.482287852385,0.17664603579609733
105,w99389992,2569.363114476204,other,222880.7619206125,247645.2910229028,278600.9524007656,nr2,-458392.6024884039,-576212.6007009309,-117819.99821252702,0.17664603579609733
106,w99390006,431.6004564465955,education,83282.49698597375,92536.10776219305,104103.12123246718,nr2,-171284.77220806983,-215309.85342848153,-44025.081220411696,0.17664603579609733
107,w99390011,2554.974828636646,ab,487902.76263553556,542114.1807061506,609878.4532944195,r2,-1073748.757433543,-1349668.8432752895,-275920.08584174654,0.17664603579609733
108,w99390014,587.280543653667,trade,125980.24566648666,139978.05074054073,157475.30708310832,nr2,-259100.0325714903,-325696.1451804649,-66596.1126089746,0.17664603579609733
109,w99390021,1617.1983746248297,other,203329.9608709738,225922.17874552644,254162.45108871724,nr2,-418183.01913697476,-525668.00536878,-107484.98623180523,0.17664603579609733
110,w99390022,5590.431437242403,education,501507.8998853299,557230.9998725888,626884.8748566624,nr2,-1031437.2107127553,-1296546.048994204,-265108.8382814487,0.17664603579609733
111,w99390025,237.89438336268066,education,22880.136119028128,25422.373465586807,28600.170148785157,nr1,-51117.68385687416,-64256.38938560873,-13138.705528734572,0.1918896023368773
112,w99390027,116.0190749399364,mfh,27759.268305341284,30843.631450379202,34699.0853816766,r1,-66365.4872665796,-83419.35654163423,-17053.869275054632,0.19189725900050425
113,w99390046,1095.085822885856,mfh,211796.0789351003,235328.97659455586,264745.09866887535,r2,-466108.8110208971,-585884.300639045,-119775.48961814784,0.17664603579609733
114,w99390052,1678.6958267321402,education,313307.17899148044,348119.0877683116,391633.9737393505,nr2,-644370.0744677094,-809991.5976115344,-165621.523143825,0.17664603579609733
115,w99390065,2581.633286331594,education,348951.4029727128,387723.781080792,436189.253715891,nr2,-717678.5487103473,-902142.4446528238,-184463.89594247658,0.17664603579609733
116,w99390082,124.21957990797236,education,39827.93660519214,44253.26289465793,49784.92075649017,nr1,-88981.63286549172,-111852.45531822788,-22870.82245273616,0.1918896023368773
117,w99390107,332.09000708311794,education,26712.358260262183,29680.39806695798,33390.44782532773,nr1,-59679.44760101558,-75018.77107941774,-15339.323478402162,0.1918896023368773
118,w99390110,1066.5973296171287,mfh,239891.65743218464,266546.2860357607,299864.5717902308,r2,-527939.968396729,-663604.1453197278,-135664.17692299886,0.17664603579609733
119,w99390116,694.0162199864862,ab,158097.7549469809,175664.1721633121,197622.1936837261,r2,-347932.5819152259,-437340.4505665956,-89407.8686513697,0.17664603579609733
120,w99390122,307.42072394330467,other,98676.7039395479,109640.78215505321,123345.87992443486,nr2,-202945.6052377389,-255108.42531063803,-52162.820072899136,0.17664603579609733
121,w99390129,1196.3697846690193,trade,195071.71625481176,216746.35139423527,243839.6453185147,nr2,-401198.51940282213,-504318.00384106574,-103119.48443824361,0.17664603579609733
122,w99390130,964.417538562417,education,164651.07624751102,182945.64027501224,205813.84530938877,nr2,-338633.243592807,-425671.66423533036,-87038.42064252339,0.17664603579609733
123,w99390133,9252.387912133521,education,680645.1328091653,756272.3697879614,850806.4160114565,nr2,-1399863.725836464,-1759668.7069388933,-359804.98110242933,0.17664603579609733
