,time,G(i),H_sun,T2m,WS10m,Int
348,20190115:1210,27.36,18.32,5.5,5.1,0.0
349,20190115:1310,36.02,15.65,5.99,5.17,0.0
350,20190115:1410,36.94,10.84,5.92,4.07,0.0
351,20190115:1510,10.94,4.28,5.74,3.86,0.0
352,20190115:1610,0.0,0.0,5.37,3.66,0.0
353,20190115:1710,0.0,0.0,5.21,3.66,0.0
354,20190115:1810,0.0,0.0,5.05,3.86,0.0
355,20190115:1910,0.0,0.0,4.72,3.86,0.0
356,20190115:2010,0.0,0.0,4.71,4.0,0.0
357,20190115:2110,0.0,0.0,4.9,3.93,0.0
358,20190115:2210,0.0,0.0,4.87,3.72,0.0
359,20190115:2310,0.0,0.0,4.71,3.59,0.0
360,20190116:0010,0.0,0.0,4.49,3.45,0.0
361,20190116:0110,0.0,0.0,4.17,3.38,0.0
362,20190116:0210,0.0,0.0,3.93,3.38,0.0
363,20190116:0310,0.0,0.0,3.73,3.31,0.0
364,20190116:0410,0.0,0.0,3.5,3.1,0.0
365,20190116:0510,0.0,0.0,3.05,2.97,0.0
366,20190116:0610,0.0,0.0,2.86,2.97,0.0
367,20190116:0710,0.0,0.0,3.26,3.31,0.0
368,20190116:0810,22.37,5.88,3.02,3.1,0.0
369,20190116:0910,37.39,12.13,3.29,2.9,0.0
370,20190116:1010,29.18,16.55,4.2,3.24,0.0
371,20190116:1110,20.98,18.75,4.79,3.24,0.0
372,20190116:1210,62.93,18.51,5.38,3.24,0.0
373,20190116:1310,57.46,15.85,5.91,3.24,0.0
374,20190116:1410,31.92,11.04,6.03,3.03,0.0
375,20190116:1510,11.86,4.48,5.54,3.1,0.0
376,20190116:1610,0.0,0.0,4.61,3.17,0.0
377,20190116:1710,0.0,0.0,4.14,3.24,0.0
378,20190116:1810,0.0,0.0,4.1,3.52,0.0
379,20190116:1910,0.0,0.0,3.52,3.59,0.0
380,20190116:2010,0.0,0.0,3.63,3.86,0.0
381,20190116:2110,0.0,0.0,3.8,4.07,0.0
382,20190116:2210,0.0,0.0,3.97,4.21,0.0
383,20190116:2310,0.0,0.0,4.23,4.48,0.0
384,20190117:0010,0.0,0.0,4.38,4.76,0.0
385,20190117:0110,0.0,0.0,4.42,4.97,0.0
386,20190117:0210,0.0,0.0,4.33,4.97,0.0
387,20190117:0310,0.0,0.0,4.4,4.97,0.0
388,20190117:0410,0.0,0.0,4.54,4.97,0.0
389,20190117:0510,0.0,0.0,4.59,4.83,0.0
390,20190117:0610,0.0,0.0,4.35,4.62,0.0
391,20190117:0710,0.0,0.0,4.97,3.86,0.0
392,20190117:0810,4.19,6.01,4.92,3.45,0.0
393,20190117:0910,41.95,12.28,5.06,3.45,0.0
394,20190117:1010,57.0,16.72,5.42,3.79,0.0
395,20190117:1110,68.86,18.94,6.08,3.52,0.0
396,20190117:1210,67.49,18.71,6.32,3.93,0.0
397,20190117:1310,28.73,16.06,6.4,4.48,0.0
398,20190117:1410,37.39,11.25,5.88,5.45,0.0
399,20190117:1510,2.28,4.69,5.35,5.52,0.0
400,20190117:1610,0.0,0.0,4.29,4.83,0.0
401,20190117:1710,0.0,0.0,3.52,4.07,0.0
402,20190117:1810,0.0,0.0,2.7,3.72,0.0
403,20190117:1910,0.0,0.0,2.36,3.66,0.0
404,20190117:2010,0.0,0.0,1.81,3.79,0.0
405,20190117:2110,0.0,0.0,1.42,3.86,0.0
406,20190117:2210,0.0,0.0,1.24,3.86,0.0
407,20190117:2310,0.0,0.0,1.38,3.79,0.0
408,20190118:0010,0.0,0.0,1.03,3.24,0.0
409,20190118:0110,0.0,0.0,0.56,2.83,0.0
410,20190118:0210,0.0,0.0,0.17,2.69,0.0
411,20190118:0310,0.0,0.0,0.01,2.62,0.0
412,20190118:0410,0.0,0.0,-0.13,2.34,0.0
413,20190118:0510,0.0,0.0,-0.32,2.0,0.0
414,20190118:0610,0.0,0.0,-0.5,1.66,0.0
415,20190118:0710,0.0,0.0,0.12,1.38,0.0
416,20190118:0810,44.27,6.14,-0.73,1.1,0.0
417,20190118:0910,23.71,12.44,0.73,0.9,0.0
418,20190118:1010,38.76,16.9,1.38,0.97,0.0
419,20190118:1110,71.14,19.14,1.74,0.48,0.0
420,20190118:1210,71.59,18.92,2.13,0.07,0.0
421,20190118:1310,54.72,16.28,2.38,0.07,0.0
422,20190118:1410,38.3,11.47,2.46,0.07,0.0
423,20190118:1510,13.68,4.9,2.24,0.28,0.0
424,20190118:1610,0.0,0.0,1.76,0.07,0.0
425,20190118:1710,0.0,0.0,0.8,0.62,0.0
426,20190118:1810,0.0,0.0,-1.47,1.31,0.0
427,20190118:1910,0.0,0.0,-2.35,1.72,0.0
428,20190118:2010,0.0,0.0,-2.48,1.66,0.0
429,20190118:2110,0.0,0.0,-2.49,1.72,0.0
430,20190118:2210,0.0,0.0,-2.51,1.79,0.0
431,20190118:2310,0.0,0.0,-2.84,1.72,0.0
432,20190119:0010,0.0,0.0,-3.16,1.72,0.0
