,time,G(i),H_sun,T2m,WS10m,Int
5974,20200905:2210,0.0,0.0,16.05,1.72,0.0
5975,20200905:2310,0.0,0.0,15.49,1.72,0.0
5976,20200906:0010,0.0,0.0,14.88,1.66,0.0
5977,20200906:0110,0.0,0.0,14.27,1.45,0.0
5978,20200906:0210,0.0,0.0,13.35,1.17,0.0
5979,20200906:0310,0.0,0.0,12.75,1.1,0.0
5980,20200906:0410,0.0,0.0,12.19,1.1,0.0
5981,20200906:0510,10.06,2.97,11.59,1.1,0.0
5982,20200906:0610,36.02,12.57,12.22,0.76,0.0
5983,20200906:0710,75.24,22.0,14.07,1.17,0.0
5984,20200906:0810,84.82,30.8,15.06,1.45,0.0
5985,20200906:0910,85.73,38.36,16.4,1.52,0.0
5986,20200906:1010,91.2,43.84,17.73,1.59,0.0
5987,20200906:1110,115.37,46.35,18.85,1.86,0.0
5988,20200906:1210,137.71,45.32,19.34,1.93,0.0
5989,20200906:1310,138.63,40.99,19.41,2.0,0.0
5990,20200906:1410,121.75,34.21,19.27,2.07,0.0
5991,20200906:1510,86.18,25.85,19.03,2.21,0.0
5992,20200906:1610,45.6,16.62,18.7,2.34,0.0
5993,20200906:1710,22.57,7.04,18.29,2.0,0.0
5994,20200906:1810,0.0,0.0,17.67,1.45,0.0
5995,20200906:1910,0.0,0.0,17.07,1.17,0.0
5996,20200906:2010,0.0,0.0,16.03,1.03,0.0
5997,20200906:2110,0.0,0.0,15.26,1.1,0.0
5998,20200906:2210,0.0,0.0,14.16,1.38,0.0
5999,20200906:2310,0.0,0.0,13.46,1.52,0.0
6000,20200907:0010,0.0,0.0,12.79,1.59,0.0
6001,20200907:0110,0.0,0.0,12.4,1.45,0.0
