,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
831,w377596012,33.714099188242116,other,12261.10883644424,13623.454262715823,15326.3860455553,nr1,-20544.878381913626,-24139.85506706704,-3594.976685153415,0.12572303637728258,-106.63125433311808
836,w377596021,41.97082374822348,other,14365.915145128201,15962.127939031334,17957.39393141025,nr1,-24071.720057183928,-28283.82931227194,-4212.109255088013,0.12572303637728258,-100.35803157821749
838,w377596023,32.13139781658538,other,10924.564967859355,12138.405519843727,13655.706209824193,nr1,-18305.347553302858,-21508.447442455094,-3203.099889152236,0.12572303637728258,-99.68753639155034
844,w377596038,30.39147779517807,other,10673.123269035219,11859.025854483576,13341.404086294024,nr1,-17884.02847104098,-21013.405252682638,-3129.3767816416585,0.12572303637728258,-102.96889156664068
847,w377596043,50.74534401865676,other,16370.348533280632,18189.27614808959,20462.935666600788,nr1,-27430.37552085905,-32230.187845340966,-4799.812324481918,0.12572303637728258,-94.58626042060618
848,w377596044,31.44567816138733,other,12042.958091506784,13381.064546118649,15053.697614383478,nr1,-20179.342068399936,-23710.356606869853,-3531.014538469917,0.12572303637728258,-112.28934292171535
861,w377596072,32.00744857888203,other,11691.840303885858,12990.933670984286,14614.80037985732,nr1,-19591.004395141794,-23019.070637737517,-3428.0662425957235,0.12572303637728258,-107.10214012051881
863,w377596074,30.798605113010854,other,11847.036925229444,13163.374361366048,14808.796156536804,nr1,-19851.05393497709,-23324.624074715175,-3473.5701397380835,0.12572303637728258,-112.7833590837098
877,w377596096,31.32093481458723,other,10674.398481578864,11860.44275730985,13342.99810197358,nr1,-17886.1652342791,-21015.915910274372,-3129.750675995274,0.12572303637728258,-99.92520001470844
882,w377596101,34.10184732507914,other,11112.260680987369,12346.956312208187,13890.32585123421,nr1,-18619.85300712932,-21877.985579018445,-3258.132571889124,0.12572303637728258,-95.54123390532664
886,w377596106,35.077698366669935,other,2624.4961288604045,2916.1068098448936,3280.6201610755056,nr0,-5392.247541732482,-6335.79190508921,-943.5443633567274,0.1541575922682194,-26.89869653059286
893,w377596115,40.14825235735625,other,13002.587884787685,14447.319871986316,16253.234855984605,nr1,-21787.310618195028,-25599.690144060645,-3812.3795258656173,0.12572303637728258,-94.95754614502133
895,w377596117,32.339281557500364,other,12059.57113792749,13399.5234865861,15074.463922409363,nr1,-20207.17911175543,-23743.064621957878,-3535.8855102024463,0.12572303637728258,-109.33716953221484
899,w377596123,32.752713098051025,other,12287.300485871383,13652.556095412647,15359.125607339229,nr1,-20588.76546091116,-24191.421579490394,-3602.6561185792343,0.12572303637728258,-109.9956546437557
901,w377596125,37.63718191203661,other,12773.342320556767,14192.602578396407,15966.677900695959,nr1,-21403.183676697037,-25148.348037149924,-3745.164360452887,0.12572303637728258,-99.5070345385014
909,w377596135,73.15242530554532,other,20445.68875744216,22717.431952713512,25557.1109468027,nr1,-34259.07024881486,-40253.77883311804,-5994.708584303182,0.12572303637728258,-81.94818639661361
916,w377596142,40.572792674647644,other,13496.601819538333,14996.224243931481,16870.752274422914,nr1,-22615.08699175229,-26572.312191957786,-3957.2252002054956,0.12572303637728258,-97.53396153768364
917,w377596143,37.61386710904771,other,11963.46949060543,13292.743878450477,14954.336863256787,nr1,-20046.149902825757,-23553.858256611416,-3507.7083537856597,0.12572303637728258,-93.25572251362341
918,w377596145,32.806498026452026,other,10618.838140061673,11798.709044512969,13273.54767507709,nr1,-17793.067580995456,-20906.527876158307,-3113.4602951628513,0.12572303637728258,-94.90376853550337
919,w377596147,34.850180151499806,other,11318.141093706887,12575.712326340985,14147.676367133608,nr1,-18964.828987439378,-22283.32602501667,-3318.4970375772937,0.12572303637728258,-95.22180439674081
929,w377596159,36.51154847629368,other,11078.08056364358,12308.978404048421,13847.600704554474,nr1,-18562.580344169142,-21810.691251086053,-3248.1109069169106,0.12572303637728258,-88.96119289560816
931,w377596161,32.13265920560807,other,10685.888717816375,11873.209686462638,13357.360897270468,nr1,-17905.41842819721,-21038.538059800965,-3133.1196316037567,0.12572303637728258,-97.50576855640188
934,w377596166,38.724472055921794,other,12969.484932676194,14410.538814084659,16211.856165845242,nr1,-21731.84286774236,-25534.516555201517,-3802.673687459155,0.12572303637728258,-98.19820608445572
935,w377596167,41.94859704792034,other,13883.111470701211,15425.679411890234,17353.889338376513,nr1,-23262.72774614918,-27333.278193120885,-4070.5504469717052,0.12572303637728258,-97.03662895618838
936,w377596168,31.29673577034846,other,2522.415142612642,2802.683491791824,3153.018928265802,nr0,-5182.513588956131,-6089.35835953358,-906.8447705774497,0.1541575922682194,-28.975698208010044
